Green   	Red     	Blue
00000000	00000000	00000000
00000000	00000000	00000000
00001100	00000000	00000000
00000100	00011100	00000010
00100000	00000100	00000110
00110000	00001000	00000011
00000000	00000000	00000000
00000000	00000000	00000000

00000000	00000000	00000000
00000000	00000000	00000000
00001100	00001000	00000000
00001100	00001100	00000110
00110000	00010100	00000100
00110000	00000000	00000111
00000000	00000000	00000000
00000000	00000000	00000000

00000000	00000000	00000000
00000000	00000000	00000000
00001100	00001100	00000000
00000100	00010100	00000110
00100000	00000100	00001001
00110000	00000000	00000110
00000000	00000000	00000010
00000000	00000000	00000000

00000000	00000000	00000000
00000000	00000000	00000000
00001100	00001100	00000000
00001100	00000110	00000110
00110000	00001000	00001001
00110000	00000000	00000111
00000000	00000000	00000110
00000000	00000000	00000000

00000000	00000000	00000000
00000000	00000000	00000000
00001100	00001110	00000000
00000100	00000010	00000110
00100000	00000100	00001001
00110000	00000000	00001001
00000000	00000000	00000101
00000000	00000000	00000000

00000000	00000000	00000000
00000000	00000100	00000000
00001100	00000110	00000000
00001100	00001010	00000110
00110000	00000000	00001001
00110000	00000000	10001101
00000000	00000000	00000010
00000000	00000000	00000000

00000000	00000000	00000000
00000000	00000110	00000000
00001100	00001010	00000000
00000100	00000010	00000110
00100000	00000000	10001001
00110000	00000000	10001101
00000000	00000000	00000111
00000000	00000000	00000000

